set_a,set_b,count_a,count_b,intersection_count,union_count,jaccard
acceptance_effective_sampling_pool,final_context_reservoir,18836,20000,0,38836,0.0
acceptance_effective_sampling_pool,final_target,18836,114400,0,133236,0.0
acceptance_effective_sampling_pool,development_context_draw_union,18836,3000,0,21836,0.0
acceptance_effective_sampling_pool,final_context_draw_union,18836,13060,0,31896,0.0
density_pool,density_pool,18866,18866,18866,18866,1.0
density_pool,threshold_calibration,18866,2000,0,20866,0.0
density_pool,development_context_reservoir,18866,3000,0,21866,0.0
density_pool,development_target,18866,2074,0,20940,0.0
density_pool,final_context_reservoir,18866,20000,0,38866,0.0
density_pool,final_target,18866,114400,0,133266,0.0
density_pool,development_context_draw_union,18866,3000,0,21866,0.0
density_pool,final_context_draw_union,18866,13060,0,31926,0.0
threshold_calibration,threshold_calibration,2000,2000,2000,2000,1.0
threshold_calibration,development_context_reservoir,2000,3000,0,5000,0.0
threshold_calibration,development_target,2000,2074,0,4074,0.0
threshold_calibration,final_context_reservoir,2000,20000,0,22000,0.0
threshold_calibration,final_target,2000,114400,0,116400,0.0
threshold_calibration,development_context_draw_union,2000,3000,0,5000,0.0
threshold_calibration,final_context_draw_union,2000,13060,0,15060,0.0
development_context_reservoir,development_context_reservoir,3000,3000,3000,3000,1.0
development_context_reservoir,development_target,3000,2074,0,5074,0.0
development_context_reservoir,final_context_reservoir,3000,20000,0,23000,0.0
development_context_reservoir,final_target,3000,114400,0,117400,0.0
development_context_reservoir,development_context_draw_union,3000,3000,3000,3000,1.0
development_context_reservoir,final_context_draw_union,3000,13060,0,16060,0.0
development_target,development_target,2074,2074,2074,2074,1.0
development_target,final_context_reservoir,2074,20000,0,22074,0.0
development_target,final_target,2074,114400,0,116474,0.0
development_target,development_context_draw_union,2074,3000,0,5074,0.0
development_target,final_context_draw_union,2074,13060,0,15134,0.0
final_context_reservoir,final_context_reservoir,20000,20000,20000,20000,1.0
final_context_reservoir,final_target,20000,114400,0,134400,0.0
final_context_reservoir,development_context_draw_union,20000,3000,0,23000,0.0
final_context_reservoir,final_context_draw_union,20000,13060,13060,20000,0.653
final_target,final_target,114400,114400,114400,114400,1.0
final_target,development_context_draw_union,114400,3000,0,117400,0.0
final_target,final_context_draw_union,114400,13060,0,127460,0.0
development_context_draw_union,development_context_draw_union,3000,3000,3000,3000,1.0
development_context_draw_union,final_context_draw_union,3000,13060,0,16060,0.0
final_context_draw_union,final_context_draw_union,13060,13060,13060,13060,1.0
